,CVCL_1805,CVCL_1859,CVCL_1170,CVCL_2016,CVCL_2017,CVCL_2889,CVCL_2022,CVCL_1240,CVCL_1280,CVCL_0337,CVCL_0065,CVCL_1324,CVCL_2541,CVCL_2976,CVCL_4965,CVCL_2098,CVCL_1380,CVCL_H631,CVCL_H637,CVCL_0013,CVCL_2127,CVCL_3032,CVCL_2633,CVCL_2142,CVCL_8461,CVCL_0466,CVCL_8797,CVCL_1913,CVCL_5363,CVCL_RL84,CVCL_A673,CVCL_0538,CVCL_2209,CVCL_2210,CVCL_9973,CVCL_L177,CVCL_A1EY,CVCL_1797
AAR2,8.26509294489731,7.99489484500035,8.19369919259219,7.87371969605619,7.98843886402308,7.90674686317722,8.36533529727873,8.1010633788361,7.72037604092627,8.05892867866553,8.12547072406892,8.05960130863676,8.12823340582247,8.38321732540052,8.60456283754362,7.54016981263717,7.43460528081532,8.10969021048381,8.04061807861829,8.65000649793976,8.15059165780671,7.97332999390769,7.96740502002128,8.38116466583764,8.15931438245269,8.24283966502609,8.12558897411166,8.21258178025271,8.12626454700359,7.87845926745212,8.2589004092745,8.47257150680862,7.73655774000899,8.04323966392863,8.11115727333918,7.2308628386789,7.92321603596944,8.62513586847176
AARD,6.07601472910178,2.4724524939744,6.25044708019367,3.58109558708019,4.69979236385311,5.74659129997779,4.69445172256143,3.606207934493,7.98291503203564,5.00878133307734,4.83276708107434,5.40861237379311,6.85180620435819,5.06702003615293,5.35012218203495,6.92677098401958,1.39762848973654,5.07660718594875,3.59776925999227,3.95302253049823,5.80949661265737,6.74753969302236,7.41500059288963,3.02002548743835,7.04280052371356,5.87305040010125,2.81294887840469,5.71924136279948,7.25835142592375,3.50150799624092,7.60197787018197,2.00446228314631,4.90988827829251,4.08016452468488,5.73637003625154,3.17834123861043,2.20429604421199,3.20028698431568
AARS1,1.50932119607584,2.40481413859226,1.31435231857798,2.51338729141673,1.89956838713004,2.09393314368829,2.63910456435662,2.36862941987599,2.39098597384437,2.03590771587059,2.55691564300533,1.72159075112317,2.02024461712358,1.82899865349354,2.48768363245776,1.14464309042199,2.38859597181076,1.82787270973759,2.34194764736776,2.30904544748381,2.23762772080938,2.03900133767654,1.37276095653359,2.32561432371427,1.87475931627671,2.45358254399575,1.9586289055202,1.71882947424429,1.92125956981328,2.90798493317278,2.57981602272859,1.04200180881684,2.16249681506955,2.62752393788983,2.07467613573934,1.57577422176506,1.52255925474721,1.86131800093118
AARS2,7.79006237117801,7.6940847648761,7.90124893139106,7.75946620445264,7.70749016787251,8.23801932968029,7.4243752151205,7.80729838422403,7.16608262040045,7.76477892337181,7.62929797913361,7.72354575888874,7.77553686877162,7.57247331464714,7.44141080460497,7.22518019981965,7.50574442438733,7.90777772465379,7.62483009107241,7.72484730484579,7.42012100424086,7.22085633873159,7.38437710042539,7.314466060934,7.71109437363595,7.26593764871646,7.25587160381383,7.42266913806379,7.9605482118882,7.55480323958705,7.57980701749231,7.66964101077741,7.97816589966657,7.52979398297795,7.55320196016987,7.57042794449115,7.66675258118855,7.03556050074851
AARSD1,7.38916827017245,7.20991995643295,7.25858553640662,7.44423972571658,6.98980300635992,7.32104970500306,7.59637617633949,7.36717802089851,7.08103991218952,7.12314997515327,7.86081136564684,7.5653975718684,7.19962737253822,7.44144535886841,7.39813474244043,7.60353674187908,7.53666435253052,7.9234978271087,7.43132485480896,7.92119265086834,7.80584968824897,7.22004160690819,7.69615374374416,7.31855611653307,7.89728849076009,6.45819781593652,7.18591966899144,7.4456554376403,7.86050148547343,8.53270998778561,7.32516343409881,8.12235156097334,7.61435907869492,6.48702585133613,7.56228818590296,7.44269480756709,6.88695655331368,6.96628898661728
AARSD1P1,3.80767838311844,2.65160635988478,2.74207429478305,1.01001538216341,1.0627558788647,1.62269557309566,3.29588585013771,2.05128875555847,1.52797222734423,2.71193026128347,2.91745113448391,2.22658426932964,1.3357717278824,2.91373512287495,2.48768363245776,3.73014326625132,3.20288288482921,2.01833702882168,1.8282588237708,3.52527037724269,1.52335770533569,1.46821216097515,2.97855881316326,1.11572171433856,0.743768985694365,1.97419165129907,2.17809675345814,3.74246664383513,1.92125956981328,0,0,2.00446228314631,1.759237884836,2.91077519738607,2.51067162196677,2.52600455782608,2.20429604421199,2.61558060748765
AASDH,6.50274741390158,6.77458838807247,6.60003942158104,6.16869107725844,6.3526934636194,6.56187087772521,6.59409939459349,6.39753222187498,6.50927367491273,6.28818485550792,6.2172664178154,6.58225614159057,6.78858887293845,6.20105697486546,6.36949430469553,6.0695267823866,6.56935195060467,6.06773728675282,6.73069740174288,6.72442186388591,6.20916351751881,6.8059394911043,6.51718221001575,6.49321514690218,7.08435882615595,6.40398623410109,6.48891133952615,6.960289809449,6.41281215646001,6.91820011542218,6.74062979249156,6.83063950314683,5.31761983912592,6.6549955169805,6.72393443527693,6.25860528201509,6.60932220826967,6.86008413671876
AASDHPPT,8.28083728084168,8.05104669892494,8.41929255009649,8.07032642389491,8.16855854262923,8.4945778567805,8.52586015726078,8.17107289395762,8.12127953100262,8.30477571435601,7.99705634310073,8.39011700884589,8.31595929277905,8.24016698687692,8.28854160014234,7.97553459472369,8.22995089409243,7.77113891740368,8.28559735501232,8.30496644769069,8.17142335249958,8.20153399525025,7.63826025092531,8.79599077057457,8.83784489329382,8.38976743944132,8.42991683401718,8.32500889430826,7.2962177201154,7.58855777772338,8.59656105230803,8.3887658769989,8.06404906075019,7.86842742127573,7.97299335506601,8.20880670187552,8.29957995824025,8.41599887889526
AASS,1.01589333591257,0.936176096071883,1.71149477131775,7.90285770592756,7.96139747313625,1.39872854750906,1.28097058378705,4.60280694649864,1.31011940475448,2.12812605868971,6.24751222254031,1.0428767390759,0.659750611894315,1.67828705171169,1.10063267689608,1.14464309042199,0.925368288473571,0.835150030599423,1.41920314890788,6.58325529406656,0.78657728853081,2.17438288409373,1.594995735331,1.96785469257714,1.1655541512358,1.51365633018377,2.17809675345814,2.0626759285899,1.50357353951428,6.13653881707168,1.23516388975679,6.25082028900921,6.82155075382385,1.1835007973816,3.04526770297308,1.26872688940408,8.62055483084525,2.99636861880449
AATBC,3.05687627470637,3.51316891861362,1.31435231857798,3.00578535828014,2.78221050851055,1.39872854750906,2.63910456435662,4.27226766923003,2.30478808907985,4.42926871117656,3.41411586075004,2.48692177713679,3.69488674852203,2.43845206890384,2.94730883748935,2.25813987148463,2.57888091123843,2.88854109821615,2.87434025869101,2.76211720131811,2.46494282116559,1.69658550037691,1.93042836251622,3.24342164378,2.16641591542323,2.88092356855803,3.33106915414786,3.29368545115461,3.67566921556305,2.7628907215847,4.35448424619531,3.05323431328085,1.91244365578335,2.38124937257758,2.91261794475277,2.00023668969327,3.03069775313371,3.45891635195165
